project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Youfanghao Coal Mine,proposed,"Shandong Energy (50%), Elion Resources Group (49%), Yin Chengguo (1%)",Hangjinqi Juneng Energy Company,5,467,bituminous,thermal,underground,,China,Asia,https://www.gem.wiki/Youfanghao_coal_mine,39.828048,109.303214
Youyi Coal Mine,proposed,Shanxi Haimei Mining Industry Company,Shanxi Shuozhou Shanyin Youyi Coal Industry Company,1.2,,bituminous,,underground,,China,Asia,https://www.gem.wiki/Youyi_coal_mine,39.662988,112.637535
Yuanbaoshan Coal Mine,operating,"China Energy (51%), China Cinda Asset Management (32%), Chifeng City Economic and Information Commission (17%)",Inner Mongolia Pingzhuang Coal Industry Group,12,216,lignite,thermal,surface,1735,China,Asia,https://www.gem.wiki/Yuanbaoshan_Coal_Mine,42.337293,119.313046
Yuandatan Coal Mine,operating,Shaanxi Coal and Chemical Industry Group,Yulin City Yuyang Zhongneng Yuandatan Mining Company,5,436,bituminous,thermal,underground,975,China,Asia,https://www.gem.wiki/Yuandatan_Coal_Mine,38.333283,109.489911
Yuandian Erjing Coal Mine,operating,Huaibei Mining Group,Anhui Bozhou Coal Industry,1.5,72,bituminous,met,underground,1649,China,Asia,https://www.gem.wiki/Yuandian_Erjing_Coal_Mine,33.532338,116.461795
Yuandian Yijing Coal Mine,operating,Huaibei Mining Group,Anhui Bozhou Coal Industry,1.8,140,bituminous,met,underground,2551,China,Asia,https://www.gem.wiki/Yuandian_Yijing_Coal_Mine,33.568632,116.580212
Yuanxiang Coal Mine,operating,China Guoxin Holdings,Taiyuan Huarun Coal Industry CompanyYuanxiang Coal Mine,0.9,131,bituminous,met,underground,1132,China,Asia,https://www.gem.wiki/Yuanxiang_Coal_Mine,37.791694,112.07849
Yuanxing Coal Mine,operating,China Cinda Asset Management,Ordos City Jungar Banner Mengtai Yuanxing Coal Company,1.2,13,bituminous,thermal,surface,54,China,Asia,https://www.gem.wiki/Yuanxing_Coal_Mine,39.376968,110.609589
Yuanyuan Surface Coal Mine 958 Mining Area,operating,Inner Mongolia Yuanyuan Energy Group,Inner Mongolia Yuanyuan Energy Group Surface Coal Mine,1.2,14,lignite,thermal,surface,406,China,Asia,https://www.gem.wiki/Yuanyuan_Surface_Coal_Mine_958_Mining_Area,45.464911,119.549702
Yuanzigou Coal Mine,operating,Shaanxi Investment Group,Shaanxi Linbei Coal Industry Development Company,8,789,bituminous,thermal,underground,1869,China,Asia,,34.877125,107.512016
Yuci Beishan Coal Mine,operating,Jinzhong Yuci Wujin Materials Trading Company,Shanxi Yuci Beishan Coal Industry Company,1.2,16,anthracite,thermal,underground,329,China,Asia,https://www.gem.wiki/Yuci_Beishan_Coal_Mine,37.840097,112.755881
Yuci Guanyao Coal Mine,operating,Jinzhong Yuci Wujin Materials Trading Company,Shanxi Yuci Guanyao Coal Industry Company,0.9,6,anthracite,thermal,underground,565,China,Asia,https://www.gem.wiki/Yuci_Guanyao_Coal_Mine,37.865863,112.753666
Yuci Weishan Coal Mine,operating,Jinneng Group,Shanxi Coal Transportation and Marketing Group Yuci Weishan Coal Industry Company,0.9,40,anthracite,thermal,underground,499,China,Asia,https://www.gem.wiki/Yuci_Weishan_Coal_Mine,37.807966,112.702636
Yuecheng Coal Mine,operating,Jinneng Group,Shanxi Jinmei Group Qinxiu Coal Industry Company,1.5,48,anthracite,thermal,underground,1655,China,Asia,https://www.gem.wiki/Yuecheng_Coal_Mine,35.600043,112.578623
Yuejin Coal Mine,operating,Yu County Bureau of Industry and Information Technology,Shanxi Jinyu Coal Industry Group,1.2,4,anthracite,thermal,underground,1897,China,Asia,https://www.gem.wiki/Yuejin_Coal_Mine,38.024302,113.465215
Yueliangtian Coal Mine,operating,Guizhou Panjiang Coal and Electricity Group,Guizhou Panjiang Refined Coal Company,1.15,164,bituminous,met,underground,3131,China,Asia,https://www.gem.wiki/Yueliangtian_Coal_Mine,25.922572,104.500064
Yuenan Coal Mine,operating,Shanxi Zezhou Tiantai Energy Company,Shanxi Zezhou Tiantai Yuenan Coal Industry Company,1.2,,bituminous,,underground,1500,China,Asia,https://www.gem.wiki/Yuenan_coal_mine,35.63525,112.732992
Yufeng Coal Mine,operating,China Coal,Shanxi Poly Yufeng Coal Industry Company,1.2,48,bituminous,met,underground,984,China,Asia,https://www.gem.wiki/Yufeng_Coal_Mine,35.885107,110.825495
Yuhetai Coal Mine,operating,Shihou (Beijing) Investment Management Company,Shanxi Yuhetai Coal Industry Company,1.5,,bituminous,met,underground,1020,China,Asia,https://www.gem.wiki/Yuhetai_Coal_Mine,36.441444,112.098134
Yuhua Coal Mine,operating,Shanxi Anze Yuhua Coal Industry Company,Shanxi Anze Yuhua Coal Industry Company,1.5,22,bituminous,met,underground,745,China,Asia,https://www.gem.wiki/Yuhua_Coal_Mine,36.445024,112.110715
Yuhua Coal Mine Chaijiagou Well,operating,Shaanxi Coal and Chemical Industry Group,Shaanxi Shanmei Tongchuan Mining Industry Company Yuhua Coal Mine Chaijiagou Well,1,19,bituminous,thermal,underground,1261,China,Asia,https://www.gem.wiki/Yuhua_Coal_Mine_Chaijiagou_Well,35.360306,108.950018
Yuhua Coal Mine Yuhua Well,operating,Shaanxi Coal and Chemical Industry Group,Shaanxi Shanmei Tongchuan Mining Industry Company Yuhua Coal Mine Yuhua Well,2.4,143,bituminous,thermal,underground,1908,China,Asia,https://www.gem.wiki/Yuhua_Coal_Mine_Yuhua_Well,35.31381,108.920115
Yujialiang Coal Mine,operating,"China Energy (69%), HKSCC Nominees Limited (17%), Others (14%)",China Shenhua Energy,13,384,bituminous,thermal,underground,652,China,Asia,https://www.gem.wiki/Yujialiang_Coal_Mine,39.044292,110.521818
Yujing Coal Mine,operating,Shanyin County Bureau of Industry and Information Technology,Shanyin County Bureau of Industry and Information Technology,2.1,,bituminous,thermal,underground,233,China,Asia,https://www.gem.wiki/Yujing_Coal_Mine,39.704737,112.586857
